,topic,words
10,10,"[('keijser', 0.024113694), ('binnen', 0.013743082), ('geworden', 0.012949796), ('tijdt', 0.012853641), ('doodt', 0.012675841), ('brugge', 0.011268404), ('huijs', 0.009416538), ('kercke', 0.008963648), ('daegen', 0.008906112), ('huijsen', 0.008876885), ('drij', 0.008869348), ('roomen', 0.008456163), ('morgens', 0.008265718), ('verscheijde', 0.008204648), ('stadthuijs', 0.007943666), ('paus', 0.0075672423), ('fransche', 0.007257784), ('wordende', 0.0072476775), ('maenden', 0.006577719), ('wirdt', 0.006526361), ('jaeren', 0.0060398155), ('buijten', 0.0058164583), ('seffens', 0.005699172), ('beijde', 0.0054279035), ('dees', 0.005284312), ('gekosen', 0.0051546036), ('stoel', 0.0051109), ('wordt', 0.0051102056), ('mart', 0.0050935284), ('heel', 0.0050635724)]"
11,11,"[('franschen', 0.024181634), ('societeit', 0.012747002), ('fransche', 0.008356072), ('majesteit', 0.008322219), ('nous', 0.0078237), ('vertrocken', 0.0067348345), ('conijnck', 0.006179038), ('leger', 0.006149244), ('une', 0.0058514695), ('ces', 0.0053037256), ('fait', 0.0051912935), ('slagh', 0.0049938783), ('officiers', 0.0047489298), ('notre', 0.004482235), ('tous', 0.004392188), ('partie', 0.00438913), ('sullen', 0.0042933067), ('majt', 0.0040859063), ('verkooping', 0.0040696394), ('rijssel', 0.0040205945), ('gouverneur', 0.004016546), ('gouvernement', 0.003945158), ('leurs', 0.003916632), ('meenen', 0.0038972949), ('troepen', 0.0037428176), ('bien', 0.0036570046), ('mais', 0.0036566635), ('audientie', 0.0036141684), ('tout', 0.0034031786), ('lui', 0.0033944603)]"
12,12,"[('opden', 0.008527228), ('volck', 0.008479773), ('ick', 0.0070725824), ('vant', 0.0068116058), ('dheer', 0.0062584686), ('teghen', 0.0062222565), ('sterck', 0.005842259), ('hollant', 0.0056686928), ('straete', 0.0056017386), ('langhe', 0.005551481), ('alsoo', 0.005532022), ('sien', 0.0053399545), ('quamen', 0.0051128245), ('lanck', 0.0047111674), ('elck', 0.004369233), ('goet', 0.0041916235), ('gelt', 0.004137952), ('midts', 0.0040460303), ('sinte', 0.0040181195), ('opde', 0.0039446563), ('haerlem', 0.0039308798), ('kercke', 0.0037484823), ('wilde', 0.0035067454), ('raet', 0.003495267), ('tijt', 0.0034811082), ('octobre', 0.0034571204), ('steden', 0.0033869161), ('souden', 0.0033407218), ('conde', 0.0033403784), ('wesende', 0.0032587105)]"
13,13,"[('magistraat', 0.019243585), ('ed', 0.019144347), ('deeze', 0.01481608), ('burgers', 0.014112942), ('gemelde', 0.012202102), ('gedaan', 0.012192884), ('mog', 0.011311243), ('brielle', 0.010620772), ('burgemeesteren', 0.009508723), ('dam', 0.009460883), ('waaren', 0.009248401), ('burgermeesteren', 0.008894528), ('sig', 0.008666618), ('vroedschap', 0.007857827), ('voorn', 0.00772692), ('scheepenen', 0.007608441), ('leeden', 0.007608245), ('binnen', 0.007535671), ('resolutie', 0.0070792567), ('gr', 0.0070461812), ('burger', 0.006854112), ('vroedschappen', 0.006542918), ('kunnen', 0.006386158), ('voorsz', 0.0063672317), ('ondergeteekende', 0.0063323854), ('regeerders', 0.0061879912), ('voorts', 0.005635954), ('edele', 0.005587871), ('mitsgaders', 0.0051620365), ('secretaris', 0.005096682)]"
14,14,"[('generael', 0.0155298775), ('staeten', 0.013610607), ('fransche', 0.010220142), ('troupen', 0.0065956824), ('hunnen', 0.005671347), ('begeven', 0.0049090385), ('gene', 0.004868488), ('gouvernement', 0.004691638), ('minister', 0.004609488), ('provincien', 0.0045953146), ('brussel', 0.004582513), ('nederlanden', 0.0044695074), ('brief', 0.0043187565), ('gevraagt', 0.004152592), ('xi', 0.0038757676), ('eersten', 0.0035777353), ('graeve', 0.003458715), ('eere', 0.0034251532), ('staet', 0.0033348845), ('ontfangen', 0.0032613142), ('haere', 0.003098681), ('magt', 0.0030574272), ('gedeputeerde', 0.002959028), ('aengekomen', 0.002955827), ('koning', 0.0028832578), ('geven', 0.0027496952), ('order', 0.002745912), ('solemnele', 0.0026691228), ('genomen', 0.0026300957), ('bl', 0.0026134597)]"
15,15,"[('gevangen', 0.012862483), ('binnen', 0.011660538), ('gecomen', 0.011114033), ('soldaten', 0.009800961), ('alsoo', 0.008660658), ('hen', 0.008510491), ('souden', 0.007824268), ('prince', 0.0073963217), ('tegens', 0.007365145), ('comen', 0.007228628), ('staten', 0.0069303974), ('aff', 0.006386491), ('vuyt', 0.00593473), ('doot', 0.0053436086), ('omtrent', 0.005332985), ('borgers', 0.0049275593), ('smorgens', 0.004791468), ('getrocken', 0.004310071), ('seyde', 0.004020774), ('deur', 0.0039328956), ('gehangen', 0.003895028), ('opten', 0.0038591793), ('wert', 0.0038205015), ('gesonden', 0.0038181106), ('capiteyn', 0.0037798025), ('spaensche', 0.0037684855), ('wesende', 0.0037632713), ('gepubliceert', 0.0037512057), ('grave', 0.003672161), ('gebrocht', 0.0036410345)]"
16,16,"[('do', 0.05019094), ('huijs', 0.044147383), ('overleeden', 0.033788413), ('edl', 0.02116834), ('hat', 0.015844882), ('hooft', 0.014048838), ('doot', 0.012421366), ('meede', 0.012326065), ('brant', 0.010500244), ('oudt', 0.010387733), ('raaden', 0.0091433255), ('scheepen', 0.00843559), ('hr', 0.008205264), ('schip', 0.007458481), ('siekte', 0.007427194), ('vriezend', 0.0069926237), ('compagnie', 0.0066962563), ('pr', 0.0063774255), ('schipper', 0.0061485646), ('scheepe', 0.006074552), ('sig', 0.0059962473), ('ghevel', 0.0059933392), ('gevallen', 0.0059217988), ('juffrou', 0.0058452967), ('selfs', 0.0056461226), ('sijde', 0.0055218353), ('menschen', 0.0052854246), ('weeder', 0.005224458), ('wier', 0.0051466725), ('nagts', 0.0050295587)]"
17,17,"[('burgermeester', 0.013492391), ('myn', 0.009868508), ('hebt', 0.007309976), ('hoogheid', 0.00723715), ('burgemeester', 0.0071529835), ('jaaren', 0.0068838927), ('jacob', 0.0066685355), ('ad', 0.0063785687), ('sc', 0.0063450616), ('vent', 0.0059744227), ('uw', 0.0058068456), ('ouderdom', 0.0057551), ('poortermans', 0.0052786726), ('uwe', 0.0052405065), ('doorl', 0.004858118), ('vel', 0.004822689), ('articulen', 0.004755709), ('poene', 0.004712364), ('sluis', 0.0046119792), ('aarden', 0.004297764), ('overleede', 0.004159034), ('consul', 0.0041457643), ('vrou', 0.0041209874), ('groningen', 0.004047805), ('dirk', 0.0039881095), ('pieter', 0.0038945647), ('roest', 0.0037168446), ('behoorlijke', 0.0036668638), ('coorne', 0.003656188), ('zijt', 0.003518798)]"
18,18,"[('sullen', 0.036102876), ('soe', 0.03293672), ('mit', 0.032256372), ('onsen', 0.024162207), ('inden', 0.024020867), ('heren', 0.017226413), ('to', 0.016489225), ('landen', 0.0152429845), ('steden', 0.012469079), ('jare', 0.011997551), ('allen', 0.011490163), ('voer', 0.010819678), ('alsoe', 0.00917653), ('vrede', 0.008006926), ('sich', 0.0077078007), ('deventer', 0.0071722623), ('mitten', 0.0068399603), ('ondersaten', 0.006147813), ('sall', 0.005955123), ('suster', 0.005926637), ('anske', 0.005743332), ('dusent', 0.0055512837), ('hasselt', 0.0054539177), ('twe', 0.0053842845), ('omme', 0.0052061253), ('wolden', 0.005030436), ('prior', 0.0049855304), ('laten', 0.0048385067), ('campen', 0.0048120995), ('vry', 0.004808273)]"
19,19,"[('schepen', 0.031348724), ('water', 0.024667209), ('zee', 0.010749815), ('voet', 0.010473517), ('omtrent', 0.0090967715), ('gevangen', 0.007768944), ('bestuur', 0.0074065016), ('binnen', 0.0065725097), ('schip', 0.00627677), ('scheepen', 0.0062715), ('boomen', 0.006233043), ('schippers', 0.005980185), ('storm', 0.005369693), ('menschen', 0.00531977), ('vloot', 0.005090768), ('gat', 0.004926576), ('geworpen', 0.0046605817), ('wijn', 0.004543368), ('lagen', 0.0044144113), ('koorn', 0.0043046293), ('waeter', 0.004242099), ('aande', 0.004160459), ('pondt', 0.004063657), ('hoog', 0.003922591), ('dijk', 0.003715468), ('winter', 0.0036363585), ('buijten', 0.0035901114), ('admirael', 0.0034319225), ('hoek', 0.0034121627), ('wint', 0.0034003397)]"
